Number;Tile;Obstacle;

1;Tile Left(Clone);Obstacle 16(Clone);
2;Tile Straight(Clone);SmallObstacle Empty(Clone);
3;Tile Right(Clone);SmallObstacle 2(Clone);
4;Tile Right(Clone);Obstacle 12(Clone);
5;Tile Straight(Clone);SmallObstacle Empty(Clone);
6;Tile Left(Clone);Obstacle 4(Clone);
7;goal;SmallObstacle 3(Clone);
8;;Obstacle 6(Clone);
9;;SmallObstacle 3(Clone);
10;;Obstacle 8(Clone);
11;;SmallObstacle 1(Clone);
12;;Obstacle 3(Clone);
13;;SmallObstacle Empty(Clone);
14;;SmallObstacle 4(Clone);
15;;Obstacle 14(Clone);
