CollisionNumber;CollisionPosition;CollisionTime;CollisionType;
101.68;totalGazeArea: 101.01;averageGazeArea: 101.01;
1;(0.2, 0.0, 23.8);54.22;0;
2;(-0.4, 0.0, 23.7);58.18;0;
3;(1.4, 0.0, 23.8);61.6;0;
4;(1.3, 0.0, 23.7);62.96;0;
5;(1.2, 0.0, 23.7);64.3;0;
6;(1.3, 0.0, 23.8);65.62;0;
7;(1.4, 0.0, 23.8);66.92;0;
8;(1.5, 0.0, 23.7);68.2;0;
9;(1.6, 0.0, 23.8);69.5;0;
10;(1.6, 0.0, 23.8);76.86;0;
11;(3.9, 0.0, 19.8);80.5;0;
12;(4.8, 0.0, 18.9);82.08;0;
13;(5.7, 0.0, 18.8);83.1;0;
14;(4.5, 0.0, 19.8);84.56;0;
15;(1.8, 0.0, 23.8);88.25999;0;
