Timestamp;Main Camera (1)_position;Main Camera (1)_orientation;messages;
0.00000;Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);(0.000, 1.600, 0.000);(0.000, 0.000, 0.000, 1.000);
0.02000;Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);(0.000, 1.600, 0.000);(0.000, 0.000, 0.000, 1.000);
0.35333;Origin: (-0.058, 1.503, 0.479), Dir: (-0.392, 0.123, 0.912);Origin: (-0.121, 1.502, 0.470), Dir: (-0.519, 0.258, 0.815);(-0.089, 1.503, 0.474);(0.150, 0.077, 0.003, -0.986);
0.55528;Origin: (-0.043, 1.463, 0.537), Dir: (-0.303, -0.215, 0.928);Origin: (-0.105, 1.467, 0.534), Dir: (-0.431, -0.052, 0.901);(-0.074, 1.465, 0.536);(0.036, -0.025, -0.027, 0.999);
0.65551;Origin: (-0.043, 1.462, 0.538), Dir: (-0.072, -0.174, 0.982);Origin: (-0.105, 1.466, 0.535), Dir: (-0.255, -0.081, 0.964);(-0.074, 1.464, 0.537);(0.040, -0.024, -0.027, 0.999);
0.69866;Origin: (-0.043, 1.462, 0.538), Dir: (-0.074, -0.175, 0.982);Origin: (-0.105, 1.466, 0.536), Dir: (-0.260, -0.080, 0.962);(-0.074, 1.464, 0.537);(0.040, -0.024, -0.027, 0.999);
0.72566;Origin: (-0.040, 1.462, 0.538), Dir: (-0.053, -0.172, 0.984);Origin: (-0.103, 1.466, 0.536), Dir: (-0.243, -0.079, 0.967);(-0.072, 1.464, 0.537);(0.039, -0.016, -0.027, 0.999);
0.78526;Origin: (-0.041, 1.462, 0.538), Dir: (-0.050, -0.172, 0.984);Origin: (-0.103, 1.466, 0.536), Dir: (-0.242, -0.080, 0.967);(-0.072, 1.464, 0.537);(0.039, -0.016, -0.027, 0.999);
0.81209;Origin: (-0.041, 1.462, 0.538), Dir: (-0.047, -0.171, 0.984);Origin: (-0.103, 1.466, 0.536), Dir: (-0.240, -0.080, 0.968);(-0.072, 1.464, 0.537);(0.039, -0.016, -0.027, 0.999);
0.85403;Origin: (-0.041, 1.462, 0.538), Dir: (-0.046, -0.171, 0.984);Origin: (-0.103, 1.466, 0.536), Dir: (-0.239, -0.079, 0.968);(-0.072, 1.464, 0.537);(0.040, -0.016, -0.027, 0.999);
0.88117;Origin: (-0.040, 1.462, 0.538), Dir: (-0.045, -0.171, 0.984);Origin: (-0.103, 1.466, 0.536), Dir: (-0.238, -0.079, 0.968);(-0.072, 1.464, 0.537);(0.040, -0.016, -0.027, 0.999);
0.94083;Origin: (-0.040, 1.462, 0.538), Dir: (-0.048, -0.175, 0.983);Origin: (-0.103, 1.466, 0.536), Dir: (-0.237, -0.079, 0.968);(-0.072, 1.464, 0.537);(0.040, -0.016, -0.027, 0.999);
0.96450;Origin: (-0.040, 1.462, 0.538), Dir: (-0.054, -0.202, 0.978);Origin: (-0.103, 1.466, 0.536), Dir: (-0.252, -0.109, 0.962);(-0.072, 1.464, 0.537);(0.040, -0.016, -0.027, 0.999);
0.99469;Origin: (-0.040, 1.462, 0.538), Dir: (-0.054, -0.203, 0.978);Origin: (-0.103, 1.466, 0.536), Dir: (-0.253, -0.108, 0.961);(-0.072, 1.464, 0.537);(0.040, -0.016, -0.027, 0.999);
1.02473;Origin: (-0.041, 1.462, 0.538), Dir: (-0.053, -0.204, 0.977);Origin: (-0.103, 1.466, 0.536), Dir: (-0.253, -0.106, 0.962);(-0.072, 1.464, 0.537);(0.040, -0.016, -0.027, 0.999);
1.06538;Origin: (-0.041, 1.462, 0.538), Dir: (-0.053, -0.205, 0.977);Origin: (-0.103, 1.466, 0.536), Dir: (-0.253, -0.108, 0.961);(-0.072, 1.464, 0.537);(0.040, -0.016, -0.027, 0.999);
1.12894;Origin: (-0.041, 1.462, 0.538), Dir: (-0.053, -0.205, 0.977);Origin: (-0.103, 1.466, 0.536), Dir: (-0.254, -0.108, 0.961);(-0.072, 1.464, 0.537);(0.040, -0.016, -0.027, 0.999);
1.15425;Origin: (-0.041, 1.462, 0.538), Dir: (-0.053, -0.206, 0.977);Origin: (-0.103, 1.466, 0.536), Dir: (-0.255, -0.105, 0.961);(-0.072, 1.464, 0.537);(0.040, -0.016, -0.027, 0.999);
1.18059;Origin: (-0.040, 1.462, 0.538), Dir: (-0.052, -0.206, 0.977);Origin: (-0.103, 1.466, 0.536), Dir: (-0.256, -0.102, 0.961);(-0.072, 1.464, 0.537);(0.040, -0.016, -0.027, 0.999);
1.20802;Origin: (-0.040, 1.462, 0.538), Dir: (-0.053, -0.206, 0.977);Origin: (-0.103, 1.466, 0.536), Dir: (-0.254, -0.101, 0.962);(-0.072, 1.464, 0.537);(0.040, -0.016, -0.027, 0.999);
1.23817;Origin: (-0.040, 1.462, 0.538), Dir: (-0.053, -0.206, 0.977);Origin: (-0.103, 1.466, 0.536), Dir: (-0.253, -0.101, 0.962);(-0.072, 1.464, 0.537);(0.040, -0.016, -0.027, 0.999);
1.30208;Origin: (-0.040, 1.462, 0.538), Dir: (-0.071, -0.261, 0.963);Origin: (-0.103, 1.466, 0.536), Dir: (-0.255, -0.108, 0.961);(-0.072, 1.464, 0.537);(0.040, -0.016, -0.027, 0.999);
1.32579;Origin: (-0.040, 1.462, 0.538), Dir: (-0.071, -0.266, 0.961);Origin: (-0.103, 1.466, 0.536), Dir: (-0.274, -0.167, 0.947);(-0.072, 1.464, 0.537);(0.040, -0.016, -0.027, 0.999);
1.36598;Origin: (-0.040, 1.462, 0.538), Dir: (-0.071, -0.270, 0.960);Origin: (-0.103, 1.466, 0.536), Dir: (-0.272, -0.150, 0.951);(-0.072, 1.464, 0.537);(0.041, -0.016, -0.027, 0.999);
1.39510;Origin: (-0.040, 1.462, 0.538), Dir: (-0.070, -0.272, 0.960);Origin: (-0.103, 1.466, 0.536), Dir: (-0.270, -0.145, 0.952);(-0.072, 1.464, 0.537);(0.041, -0.016, -0.027, 0.999);
1.45835;Origin: (-0.040, 1.462, 0.538), Dir: (-0.070, -0.274, 0.959);Origin: (-0.103, 1.466, 0.536), Dir: (-0.268, -0.144, 0.953);(-0.072, 1.464, 0.537);(0.041, -0.016, -0.027, 0.999);
1.48179;Origin: (-0.040, 1.462, 0.538), Dir: (-0.070, -0.275, 0.959);Origin: (-0.103, 1.465, 0.536), Dir: (-0.257, -0.157, 0.954);(-0.072, 1.464, 0.537);(0.041, -0.016, -0.027, 0.999);
1.50805;Origin: (-0.040, 1.462, 0.538), Dir: (-0.070, -0.276, 0.959);Origin: (-0.103, 1.465, 0.536), Dir: (-0.257, -0.158, 0.954);(-0.072, 1.464, 0.537);(0.041, -0.016, -0.027, 0.999);
1.53843;Origin: (-0.040, 1.462, 0.538), Dir: (-0.070, -0.276, 0.958);Origin: (-0.103, 1.465, 0.536), Dir: (-0.258, -0.156, 0.953);(-0.072, 1.464, 0.537);(0.041, -0.016, -0.027, 0.999);
1.56667;Origin: (-0.040, 1.462, 0.538), Dir: (-0.070, -0.277, 0.958);Origin: (-0.103, 1.465, 0.536), Dir: (-0.262, -0.149, 0.953);(-0.072, 1.464, 0.537);(0.041, -0.015, -0.027, 0.999);
1.62574;Origin: (-0.040, 1.462, 0.538), Dir: (-0.070, -0.278, 0.958);Origin: (-0.103, 1.465, 0.536), Dir: (-0.262, -0.148, 0.954);(-0.072, 1.464, 0.537);(0.041, -0.015, -0.027, 0.999);
1.64784;Origin: (-0.040, 1.462, 0.538), Dir: (-0.010, -0.233, 0.973);Origin: (-0.103, 1.465, 0.536), Dir: (-0.218, -0.108, 0.970);(-0.072, 1.464, 0.537);(0.041, -0.015, -0.027, 0.999);
1.68139;Origin: (-0.040, 1.462, 0.538), Dir: (-0.009, -0.231, 0.973);Origin: (-0.103, 1.465, 0.536), Dir: (-0.218, -0.109, 0.970);(-0.072, 1.464, 0.537);(0.041, -0.015, -0.027, 0.999);
1.71166;Origin: (-0.040, 1.462, 0.538), Dir: (-0.009, -0.230, 0.973);Origin: (-0.103, 1.465, 0.537), Dir: (-0.213, -0.118, 0.970);(-0.072, 1.464, 0.537);(0.041, -0.015, -0.027, 0.999);
1.75341;Origin: (-0.040, 1.462, 0.538), Dir: (-0.008, -0.229, 0.973);Origin: (-0.103, 1.465, 0.537), Dir: (-0.209, -0.123, 0.970);(-0.072, 1.464, 0.537);(0.041, -0.015, -0.027, 0.999);
1.81861;Origin: (-0.040, 1.462, 0.538), Dir: (-0.007, -0.227, 0.974);Origin: (-0.103, 1.465, 0.537), Dir: (-0.209, -0.123, 0.970);(-0.072, 1.464, 0.537);(0.041, -0.015, -0.027, 0.999);
