Timestamp;Total_Angles_x;Total_Angles_y;Main Camera (1)_position;Main Camera (1)_orientation;messages;
0.00000;40.56542;-14.38124;(0.000, 1.600, 0.000);(0.000, 0.000, 0.000, 1.000);
0.02000;0;-91.67327;(0.000, 1.600, 0.000);(0.000, 0.000, 0.000, 1.000);
0.35333;0.7280751;-94.11599;(-0.013, 1.643, 0.539);(-0.091, -0.012, 0.019, 0.996);No pattern saccade;
0.51689;12.75714;2.500307;(0.055, 1.521, 0.566);(-0.144, 0.049, 0.027, -0.988);No pattern saccade;
0.58369;4.848793;-58.9796;(0.062, 1.479, 0.589);(-0.019, 0.060, 0.026, -0.998);No pattern saccade;
0.62183;2.741239;-31.2164;(0.063, 1.472, 0.591);(-0.012, 0.062, 0.026, -0.998);No pattern saccade;
0.65984;2.268195;-29.54622;(0.063, 1.466, 0.595);(-0.007, 0.063, 0.028, -0.998);No pattern saccade;
0.68854;2.000875;-28.40179;(0.062, 1.460, 0.597);(-0.005, 0.063, 0.031, -0.998);
0.71601;1.937868;-27.96452;(0.062, 1.457, 0.599);(-0.003, 0.062, 0.031, -0.998);
0.74572;2.051656;-27.61774;(0.062, 1.453, 0.601);(-0.003, 0.061, 0.032, -0.998);
0.77598;2.271712;-27.44704;(0.061, 1.449, 0.603);(-0.002, 0.060, 0.033, -0.998);
0.80309;2.545508;-27.33888;(0.061, 1.445, 0.605);(-0.001, 0.058, 0.034, -0.998);
0.83289;2.918965;-27.12175;(0.060, 1.441, 0.607);(0.000, 0.056, 0.035, -0.998);
0.85955;3.37203;-26.90232;(0.059, 1.436, 0.609);(0.000, 0.054, 0.035, -0.998);
0.89166;3.844674;-26.82588;(0.058, 1.432, 0.611);(0.000, 0.053, 0.036, -0.998);
0.93265;4.691837;-26.86578;(0.047, 1.429, 0.612);(0.002, 0.090, 0.040, -0.995);
0.96120;-5.005309;-26.47211;(0.049, 1.429, 0.612);(-0.003, -0.083, -0.041, 0.996);
1.00487;-7.171933;-2.759068;(0.049, 1.430, 0.612);(-0.004, -0.083, -0.042, 0.996);Pattern 1 saccade;
1.06450;-7.038988;-2.683069;(0.049, 1.430, 0.612);(-0.003, -0.085, -0.041, 0.996);No pattern saccade;
1.10548;2.149681;3.368854;(0.047, 1.430, 0.612);(-0.003, -0.087, -0.036, 0.996);
1.14598;17.05274;-3.185703;(0.046, 1.429, 0.612);(-0.003, -0.086, -0.032, 0.996);No pattern saccade;
1.17653;24.96289;-11.26803;(0.046, 1.429, 0.612);(-0.003, -0.083, -0.029, 0.996);No pattern saccade;
1.21890;23.81961;-13.36058;(0.046, 1.429, 0.612);(-0.003, -0.080, -0.027, 0.996);No pattern saccade;
1.24946;23.82933;-13.54348;(0.046, 1.429, 0.612);(-0.003, -0.077, -0.026, 0.997);
1.29120;24.23231;-13.73388;(0.046, 1.429, 0.612);(0.001, 0.076, 0.026, -0.997);
1.31687;23.33225;-27.48166;(0.074, 1.668, 0.483);(0.000, 0.009, 0.027, -1.000);
1.34498;43.65854;-14.71665;(0.075, 1.668, 0.484);(-0.003, 0.011, 0.028, -1.000);No pattern saccade;
1.37638;43.43744;-14.91389;(0.075, 1.668, 0.484);(-0.008, 0.012, 0.029, -0.999);No pattern saccade;
1.41695;33.59761;-26.09708;(0.076, 1.668, 0.484);(-0.014, 0.012, 0.032, -0.999);
1.44598;24.29145;-31.74021;(0.077, 1.667, 0.486);(-0.024, 0.003, 0.040, -0.999);No pattern saccade;
1.47685;4.368062;-50.45011;(0.077, 1.665, 0.486);(-0.028, -0.008, 0.047, -0.998);No pattern saccade;
1.51799;-2.004705;-62.43182;(0.091, 1.661, 0.489);(-0.032, 0.032, 0.052, -0.998);No pattern saccade;
