Timestamp;Total_Angles_x;Total_Angles_y;Main Camera (1)_position;Main Camera (1)_orientation;messages;
0.00000;70.47953;-19.52042;(0.00, 1.60, 0.00);(0.00, 0.00, 0.00);
0.02000;0;-35.91512;(0.00, 1.60, 0.00);(0.00, 0.00, 0.00);
0.35333;6.627563;-39.47683;(-0.26, 1.44, 0.48);(2.48, 319.75, 0.64);Pattern 1 saccade;
0.66755;-36.26599;-16.86539;(-0.18, 1.46, 0.49);(354.65, 1.18, 359.96);No pattern saccade;
0.77797;4.807488;-9.067412;(-0.17, 1.46, 0.49);(353.88, 3.94, 1.30);No pattern saccade;
0.85649;3.945527;-9.496448;(-0.02, 1.51, 0.46);(353.98, 5.05, 1.14);Pattern 1 saccade;
0.92403;9.003151;-8.276234;(-0.02, 1.51, 0.45);(354.05, 4.86, 1.08);
0.96201;8.815915;-8.350676;(-0.02, 1.51, 0.45);(353.95, 4.80, 1.13);Pattern 1 saccade;
1.00108;8.774675;-8.246274;(-0.02, 1.51, 0.45);(353.96, 4.83, 1.09);
1.05633;8.782984;-8.263068;(-0.02, 1.51, 0.45);(354.03, 5.09, 1.08);
1.11709;9.052237;-8.341722;(-0.02, 1.51, 0.45);(354.07, 5.30, 1.23);
1.15712;9.28828;-8.371376;(-0.02, 1.51, 0.45);(354.05, 5.20, 1.22);
1.20282;9.19216;-8.347096;(-0.02, 1.51, 0.45);(353.98, 4.68, 1.31);
1.24330;8.688588;-8.271294;(-0.02, 1.51, 0.45);(353.96, 4.44, 1.27);
1.31658;8.427178;-8.251089;(-0.02, 1.51, 0.45);(353.95, 4.28, 1.25);
1.35779;8.267466;-8.245472;(-0.02, 1.51, 0.45);(353.94, 4.24, 1.30);
1.40477;8.235908;-8.228446;(-0.02, 1.51, 0.45);(353.93, 4.44, 1.23);
1.47038;8.423824;-8.226209;(-0.02, 1.51, 0.45);(354.04, 4.65, 1.24);
1.51542;8.638452;-8.336761;(-0.02, 1.51, 0.45);(354.18, 4.84, 1.18);
1.55903;8.796621;-8.477381;(-0.02, 1.51, 0.45);(354.31, 4.95, 1.10);
1.62896;8.886791;-8.610504;(-0.02, 1.51, 0.45);(354.31, 4.92, 1.05);
1.67031;8.839616;-8.616768;(-0.02, 1.51, 0.45);(354.29, 4.96, 0.98);
1.70004;8.862923;-8.602325;(-0.02, 1.51, 0.45);(354.28, 4.91, 0.93);
1.74295;8.805156;-8.596115;(-0.02, 1.51, 0.45);(354.30, 4.93, 0.91);
1.81480;8.82746;-8.612666;(-0.02, 1.51, 0.45);(354.37, 4.87, 0.95);
1.85861;8.771794;-8.679148;(-0.02, 1.51, 0.45);(354.39, 4.73, 0.90);
1.90082;8.622459;-8.70905;(-0.02, 1.51, 0.45);(354.34, 4.65, 0.88);
1.98497;8.53744;-8.664946;(-0.02, 1.51, 0.45);(354.34, 4.70, 0.88);
2.02867;8.593723;-8.661069;(-0.02, 1.51, 0.45);(354.37, 4.74, 0.91);
2.07336;8.644898;-8.661674;(-0.02, 1.51, 0.45);(354.40, 4.78, 0.96);
2.13981;8.692991;-8.699239;(-0.02, 1.51, 0.45);(354.39, 4.67, 0.92);
2.17032;8.578559;-8.697311;(-0.02, 1.51, 0.45);(354.40, 4.60, 0.91);
2.19935;8.501034;-8.715178;(-0.02, 1.51, 0.45);(354.43, 4.56, 0.95);
2.24259;8.473595;-8.741099;(-0.02, 1.51, 0.45);(354.40, 4.52, 0.94);
2.31512;8.425611;-8.721582;(-0.02, 1.51, 0.45);(354.35, 4.45, 0.95);
2.35828;8.371055;-8.661203;(-0.02, 1.51, 0.45);(354.34, 4.36, 1.01);
2.40377;8.292374;-8.644723;(-0.02, 1.51, 0.45);(354.36, 4.21, 1.00);
2.47157;8.143116;-8.66649;(-0.02, 1.51, 0.45);(354.35, 4.17, 1.01);
2.51865;8.101571;-8.663316;(-0.02, 1.51, 0.45);(354.33, 4.13, 0.99);
2.55798;8.057886;-8.636851;(-0.02, 1.51, 0.45);(354.29, 4.11, 0.89);
2.62621;8.007545;-8.622872;(-0.02, 1.51, 0.45);(354.18, 4.12, 0.86);
2.67154;8.015719;-8.508882;(-0.02, 1.51, 0.45);(353.96, 4.11, 0.93);
2.71802;8.019208;-8.28412;(-0.02, 1.51, 0.45);(353.48, 4.19, 0.88);
2.78370;8.102701;-7.793364;(-0.02, 1.51, 0.45);(353.24, 4.17, 0.75);
2.83060;8.049811;-7.578492;(-0.02, 1.51, 0.45);(352.90, 4.03, 0.53);
2.87198;7.845633;-7.262034;(-0.02, 1.51, 0.45);(351.66, 3.15, 0.21);
2.93999;6.898584;-6.043154;(-0.02, 1.51, 0.45);(350.70, 2.66, 359.83);
2.97398;6.30968;-5.09406;(-0.02, 1.51, 0.45);(349.83, 2.40, 359.36);
3.01313;5.925889;-4.271592;(-0.02, 1.51, 0.45);(349.23, 2.56, 358.95);
