Timestamp;Total_Angles_x;Total_Angles_y;Head_Rotation_x;Head_Rotation_y;Main Camera (1)_position;Main Camera (1)_orientation;messages;
0.00000;70.47953;-19.52042;0;0;(0.00, 1.60, 0.00);(0.00, 0.00, 0.00);
0.02000;0;-35.91512;0;0;(0.00, 1.60, 0.00);(0.00, 0.00, 0.00);
0.35333;7.0726;-43.96335;1.80131;-2.831273;(-0.29, 1.65, 0.52);(2.83, 1.80, 0.45);Pattern 1 saccade;
0.59984;1.133828;-13.44222;1.789821;-2.828377;(-0.29, 1.65, 0.52);(2.83, 1.79, 0.46);No pattern saccade;
0.67591;1.122541;-13.43936;1.78545;-2.825609;(-0.29, 1.65, 0.52);(2.83, 1.79, 0.46);No pattern saccade;
0.71607;1.293007;-13.43775;-1.249054;-2.766838;(-0.30, 1.65, 0.52);(2.77, 358.75, 0.47);
0.75378;-1.827148;-13.37784;-1.250671;-2.767164;(-0.30, 1.65, 0.52);(2.77, 358.75, 0.47);
0.79840;-1.829327;-13.37806;-1.251038;-2.769115;(-0.30, 1.65, 0.52);(2.77, 358.75, 0.47);Pattern 1 saccade;
0.84302;-1.829658;-13.37994;-1.251495;-2.772521;(-0.30, 1.65, 0.52);(2.77, 358.75, 0.47);
0.89377;-1.830148;-13.38338;-1.252563;-2.775139;(-0.30, 1.65, 0.52);(2.78, 358.75, 0.47);
0.92695;-1.831242;-13.38593;-1.251556;-2.779404;(-0.30, 1.65, 0.52);(2.78, 358.75, 0.47);
0.96614;-1.829934;-13.39024;-1.252991;-2.782442;(-0.30, 1.65, 0.52);(2.78, 358.75, 0.47);
0.99643;-1.831104;-13.39335;-1.252594;-2.784657;(-0.30, 1.65, 0.52);(2.78, 358.75, 0.47);
1.03851;-1.830463;-13.39552;-1.253418;-2.788;(-0.30, 1.65, 0.52);(2.79, 358.75, 0.47);
1.08354;-1.831048;-13.39899;-1.254517;-2.788912;(-0.30, 1.65, 0.52);(2.79, 358.75, 0.47);
1.13427;-1.832295;-13.3998;-1.253418;-2.791859;(-0.30, 1.65, 0.52);(2.79, 358.75, 0.47);
1.16594;-1.831131;-13.4028;-1.253113;-2.7936;(-0.30, 1.65, 0.52);(2.79, 358.75, 0.47);
1.19704;-1.83078;-13.40451;-1.253174;-2.796181;(-0.30, 1.65, 0.52);(2.80, 358.75, 0.47);
1.22465;-1.830849;-13.40707;-1.254333;-2.799384;(-0.30, 1.65, 0.52);(2.80, 358.75, 0.47);
1.27149;-1.832322;-13.41036;-1.254791;-2.799861;(-0.30, 1.65, 0.52);(2.80, 358.75, 0.47);
1.30905;-1.833333;-13.4107;-1.252167;-2.803237;(-0.30, 1.65, 0.52);(2.80, 358.75, 0.47);
