Time;CollisionNumber;CollisionPosition;CollisionTime;CollisionType;
108.46;1;(-2.2, 0.0, 7.4);7.84;0;
108.46;2;(-2.6, 0.0, 7.5);8.5;0;
108.46;3;(-2.4, 0.0, 7.5);9.08;0;
108.46;4;(-2.4, 0.0, 7.4);9.679999;0;
108.46;5;(-2.2, 0.0, 7.5);10.34;0;
108.46;6;(-1.6, 0.0, 7.5);11.02;0;
108.46;7;(-1.6, 0.0, 7.5);11.66;0;
108.46;8;(-1.7, 0.0, 7.4);12.3;0;
108.46;9;(-1.8, 0.0, 7.4);12.94;0;
108.46;10;(-1.8, 0.0, 7.5);13.6;0;
108.46;11;(-1.9, 0.0, 7.5);14.24;0;
108.46;12;(-2.0, 0.0, 7.5);14.88;0;
108.46;13;(-2.1, 0.0, 7.4);15.52;0;
108.46;14;(-2.1, 0.0, 7.4);16.16;0;
108.46;15;(-2.2, 0.0, 7.5);16.82;0;
108.46;16;(-2.3, 0.0, 7.4);17.46;0;
108.46;17;(-2.4, 0.0, 7.5);18.1;0;
108.46;18;(-2.4, 0.0, 7.4);18.74;0;
108.46;19;(-2.5, 0.0, 7.5);19.4;0;
108.46;20;(-2.4, 0.0, 7.5);20.06;0;
108.46;21;(-2.1, 0.0, 7.4);20.66;0;
108.46;22;(-2.2, 0.0, 7.4);21.32;0;
108.46;23;(-2.3, 0.0, 7.5);21.96;0;
108.46;24;(-2.3, 0.0, 7.4);22.6;0;
108.46;25;(-2.4, 0.0, 7.5);23.26;0;
108.46;26;(-2.5, 0.0, 7.4);23.9;0;
108.46;27;(-2.6, 0.0, 7.4);24.54;0;
108.46;28;(-2.6, 0.0, 7.5);25.2;0;
108.46;29;(-2.7, 0.0, 7.4);35.5;0;
108.46;30;(-2.8, 0.0, 7.4);36.22;0;
108.46;31;(-2.2, 0.0, 7.4);36.86;0;
108.46;32;(-2.0, 0.0, 7.4);37.5;0;
108.46;33;(-1.7, 0.0, 7.5);38.14;0;
108.46;34;(-1.4, 0.0, 7.4);38.78;0;
108.46;35;(-1.4, 0.0, 7.4);39.42;0;
108.46;36;(-1.5, 0.0, 7.4);40.06;0;
108.46;37;(-1.6, 0.0, 7.4);40.72;0;
108.46;38;(-1.7, 0.0, 7.5);41.36;0;
108.46;39;(-1.7, 0.0, 7.5);42;0;
108.46;40;(-1.8, 0.0, 7.4);42.64;0;
108.46;41;(-1.9, 0.0, 7.4);43.28;0;
108.46;42;(-2.0, 0.0, 7.5);43.94;0;
108.46;43;(-2.0, 0.0, 7.5);44.58;0;
108.46;44;(-2.1, 0.0, 7.5);45.24;0;
108.46;45;(-2.2, 0.0, 7.5);45.88;0;
108.46;46;(-2.3, 0.0, 7.4);46.5;0;
108.46;47;(-2.3, 0.0, 7.5);47.16;0;
108.46;48;(-2.4, 0.0, 7.5);47.8;0;
108.46;49;(-2.0, 0.0, 7.5);48.44;0;
108.46;50;(-1.9, 0.0, 7.5);49.08;0;
108.46;51;(-1.9, 0.0, 7.5);49.72;0;
108.46;52;(-2.0, 0.0, 7.4);50.36;0;
108.46;53;(-2.1, 0.0, 7.5);51.02;0;
108.46;54;(-2.2, 0.0, 7.5);51.66;0;
108.46;55;(-2.2, 0.0, 7.5);52.3;0;
108.46;56;(-2.3, 0.0, 7.5);52.96;0;
108.46;57;(-1.7, 0.0, 7.4);53.58;0;
108.46;58;(-1.6, 0.0, 7.5);54.22;0;
108.46;59;(-1.7, 0.0, 7.4);54.86;0;
108.46;60;(-1.8, 0.0, 7.5);55.52;0;
108.46;61;(-1.8, 0.0, 7.5);56.16;0;
108.46;62;(-1.9, 0.0, 7.5);56.8;0;
108.46;63;(-2.0, 0.0, 7.5);74.82;0;
