Number;Tile;Obstacle;

1;Tile Left(Clone);Obstacle 14(Clone);
2;Tile Straight(Clone);Obstacle 11(Clone);
3;Tile Right(Clone);SmallObstacle 3(Clone);
4;Tile Straight(Clone);SmallObstacle Empty(Clone);
5;Tile Left(Clone);Obstacle 9(Clone);
6;Tile Right(Clone);SmallObstacle 2(Clone);
7;goal;Obstacle 8(Clone);
8;;SmallObstacle Empty(Clone);
9;;Obstacle 9(Clone);
10;;SmallObstacle 1(Clone);
11;;Obstacle 4(Clone);
12;;SmallObstacle 2(Clone);
13;;SmallObstacle 2(Clone);
14;;Obstacle 15(Clone);
15;;SmallObstacle Empty(Clone);
