CollisionNumber;CollisionPosition;CollisionTime;CollisionType;
200.49;totalGazeArea: 0.00;averageGazeArea: 0.00;
1;(-18.9, 0.0, 13.7);91.82;0;
2;(-24.1, 0.0, 19.1);105.86;0;
3;(-24.1, 0.0, 19.6);120.42;0;
4;(-24.2, 0.0, 19.2);124.36;0;
5;(-24.8, 0.0, 20.2);126.36;0;
6;(-24.6, 0.0, 20.2);126.98;0;
7;(-24.1, 0.0, 19.9);133.06;0;
8;(-24.2, 0.0, 19.9);133.28;0;
9;(-24.0, 0.0, 20.0);135.5;0;
10;(-24.0, 0.0, 20.3);182.92;0;
11;(-24.1, 0.0, 18.6);185.96;0;
12;(-24.7, 0.0, 19.1);188.36;0;
13;(-24.0, 0.0, 17.2);191.34;0;
