CollisionNumber;CollisionPosition;CollisionTime;CollisionType;
296.88;totalGazeArea: 0.00;averageGazeArea: 0.00;
1;(3.8, 0.0, 9.2);99.9;0;
2;(4.7, 0.0, 7.6);130.7;0;
3;(5.4, 0.0, 7.5);133.58;0;
4;(0.9, 0.0, 11.3);137.92;0;
5;(0.8, 0.0, 11.3);140.58;0;
6;(0.5, 0.0, 11.3);142.18;0;
7;(4.3, 0.0, 9.2);183.16;0;
8;(4.0, 0.0, 9.8);184.56;0;
9;(4.8, 0.0, 9.9);186.7;0;
10;(4.0, 0.0, 10.8);189;0;
11;(4.9, 0.0, 11.0);190.02;0;
12;(4.0, 0.0, 11.4);193.84;0;
13;(4.9, 0.0, 11.3);195.24;0;
14;(4.0, 0.0, 9.8);196.88;0;
15;(4.9, 0.0, 9.6);197.96;0;
16;(4.0, 0.0, 8.9);215.3;0;
17;(4.1, 0.0, 10.3);217.9;0;
18;(4.9, 0.0, 10.4);218.92;0;
19;(4.2, 0.0, 10.2);234.22;0;
20;(4.9, 0.0, 10.2);235.42;0;
21;(4.1, 0.0, 10.1);238.22;0;
22;(5.0, 0.0, 10.1);239.06;0;
23;(4.0, 0.0, 10.1);245.3;0;
24;(4.8, 0.0, 9.8);252.22;0;
25;(4.2, 0.0, 13.4);255.36;0;
26;(4.2, 0.0, 12.2);255.76;0;
27;(4.7, 0.0, 5.7);259.56;0;
28;(10.1, 0.0, 10.7);263.36;0;
29;(14.0, 0.0, 10.8);265.3;0;
30;(23.9, 0.0, 9.8);269.16;0;
31;(25.2, 0.0, 9.8);270.66;0;
32;(17.9, 0.0, 13.3);274.02;0;
33;(20.6, 0.0, 13.6);276.9;0;
34;(15.2, 0.0, 12.0);279.5;0;
35;(13.9, 0.0, 10.8);281.82;0;
36;(15.1, 0.0, 9.3);283.72;0;
37;(11.7, 0.0, 13.4);286.32;0;
38;(12.4, 0.0, 13.3);287.84;0;
39;(14.0, 0.0, 13.0);289.46;0;
40;(15.9, 0.0, 13.4);290.66;0;
41;(17.7, 0.0, 13.4);292.32;0;
42;(15.2, 0.0, 10.3);294.42;0;
