CollisionNumber;CollisionPosition;CollisionTime;CollisionType(0static,1moving,2high);
153.62;totalGazeArea: 0.00;averageGazeArea: 0.00;
1;(-1.7, 0.0, 3.5);5.46;0;
2;(-1.7, 0.0, 3.1);13.08;0;
3;(-1.7, 0.0, 3.1);15.48;0;
4;(-3.9, 0.0, 2.0);77.9;0;
5;(-3.9, 0.0, 2.1);80.02;0;
6;(-3.8, 0.0, 2.2);81.43999;0;
7;(-3.9, 0.0, 2.0);84.46;0;
8;(-4.0, 0.0, 2.2);87.92;0;
9;(-4.0, 0.0, 2.0);89.3;0;
10;(-4.2, 0.0, 1.6);90.8;0;
11;(-3.6, 0.0, 3.5);94.5;0;
12;(-2.7, 0.0, 3.6);96.07999;0;
13;(-2.4, 0.0, 3.5);97.56;0;
14;(-2.1, 0.0, 3.5);98.98;0;
15;(-0.4, 0.0, 29.1);120.5;0;
16;(0.0, 0.0, 33.6);128.64;0;
17;(-0.4, 0.0, 33.7);130.12;0;
18;(-1.0, 0.0, 33.6);131.62;0;
19;(-1.4, 0.0, 33.6);133.04;0;
20;(-2.4, 0.0, 33.7);134.62;0;
21;(-1.8, 0.0, 33.8);136.96;0;
22;(-1.2, 0.0, 33.7);138.36;0;
23;(-1.2, 0.0, 33.7);143.06;0;
24;(-0.7, 0.0, 33.7);144.56;0;
