CollisionNumber;CollisionPosition;CollisionTime;CollisionType(0static,1moving,2high);
89.66;totalGazeArea: 13.77;averageGazeArea1: 0.65;averageGazeArea3: 1.36;averageGazeArea5: 1.80;averageGazeArea10: 2.56;
1;(3.5, 0.0, 11.7);10.42;0;
2;(0.9, 0.0, 44.3);32.62;0;
3;(1.1, 0.0, 44.4);34.02;0;
4;(1.2, 0.0, 44.5);35.36;0;
5;(1.3, 0.0, 44.5);36.68;0;
6;(1.3, 0.0, 44.5);38;0;
7;(1.4, 0.0, 44.6);39.3;0;
8;(1.4, 0.0, 44.7);40.66;0;
9;(1.5, 0.0, 44.6);41.96;0;
10;(1.6, 0.0, 44.7);43.26;0;
11;(1.7, 0.0, 44.7);44.56;0;
12;(1.7, 0.0, 44.7);45.86;0;
13;(1.8, 0.0, 44.8);47.2;0;
14;(1.9, 0.0, 44.8);48.56;0;
15;(1.9, 0.0, 44.9);49.92;0;
