Number;Tile;Obstacle;

1;Tile Left(Clone);Obstacle 3(Clone);
2;Tile Straight(Clone);SmallObstacle Empty(Clone);
3;Tile Right(Clone);SmallObstacle Empty(Clone);
4;Tile Right(Clone);Obstacle 8(Clone);
5;Tile Straight(Clone);SmallObstacle Empty(Clone);
6;Tile Left(Clone);Obstacle 13(Clone);
7;goal;SmallObstacle 2(Clone);
8;;Obstacle 10(Clone);
9;;SmallObstacle 1(Clone);
10;;Obstacle 11(Clone);
11;;SmallObstacle Empty(Clone);
12;;Obstacle 6(Clone);
13;;SmallObstacle 1(Clone);
14;;SmallObstacle 1(Clone);
15;;Obstacle 15(Clone);
