Timestamp;Main Camera (1)_position;Main Camera (1)_orientation;messages;
0.00000;Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);(0.000, 1.600, 0.000);(0.000, 0.000, 0.000, 1.000);
0.02000;Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);Origin: (0.000, 0.000, 0.000), Dir: (0.000, 0.000, 1.000);(0.000, 1.600, 0.000);(0.000, 0.000, 0.000, 1.000);
0.35333;Origin: (0.251, 1.567, 0.379), Dir: (-0.256, 0.150, 0.955);Origin: (0.193, 1.570, 0.354), Dir: (-0.593, 0.416, 0.689);(0.222, 1.568, 0.366);(-0.207, -0.195, -0.067, 0.956);
0.63088;Origin: (0.231, 1.592, 0.568), Dir: (-0.310, 0.140, 0.940);Origin: (0.175, 1.588, 0.540), Dir: (-0.667, 0.355, 0.655);(0.203, 1.590, 0.554);(-0.205, -0.226, -0.008, 0.952);
0.77814;Origin: (0.222, 1.607, 0.498), Dir: (0.032, 0.094, 0.995);Origin: (0.159, 1.601, 0.492), Dir: (-0.405, 0.308, 0.861);(0.191, 1.604, 0.495);(-0.180, -0.058, 0.036, 0.981);
0.87684;Origin: (0.231, 1.602, 0.506), Dir: (0.134, 0.020, 0.991);Origin: (0.168, 1.599, 0.506), Dir: (-0.304, 0.259, 0.917);(0.200, 1.601, 0.506);(-0.144, -0.006, 0.022, 0.989);
0.93130;Origin: (0.208, 1.594, 0.394), Dir: (0.382, 0.009, 0.924);Origin: (0.147, 1.593, 0.410), Dir: (-0.052, 0.262, 0.964);(0.177, 1.593, 0.402);(-0.139, 0.123, 0.025, 0.982);
0.95798;Origin: (0.208, 1.588, 0.388), Dir: (0.421, 0.008, 0.907);Origin: (0.147, 1.588, 0.406), Dir: (-0.009, 0.267, 0.964);(0.178, 1.588, 0.397);(-0.140, 0.145, 0.022, 0.979);
0.98124;Origin: (0.208, 1.583, 0.381), Dir: (0.441, 0.010, 0.897);Origin: (0.148, 1.583, 0.401), Dir: (0.015, 0.272, 0.962);(0.178, 1.583, 0.391);(-0.142, 0.156, 0.020, 0.977);
1.01139;Origin: (0.300, 1.622, 0.388), Dir: (0.069, 0.010, 0.998);Origin: (0.237, 1.622, 0.383), Dir: (-0.350, 0.273, 0.896);(0.268, 1.622, 0.385);(-0.143, -0.035, -0.009, 0.989);
1.04516;Origin: (0.305, 1.626, 0.387), Dir: (0.074, 0.012, 0.997);Origin: (0.242, 1.626, 0.383), Dir: (-0.345, 0.274, 0.898);(0.274, 1.626, 0.385);(-0.144, -0.033, -0.008, 0.989);
1.11248;Origin: (0.306, 1.626, 0.385), Dir: (0.079, 0.015, 0.997);Origin: (0.243, 1.627, 0.381), Dir: (-0.342, 0.276, 0.898);(0.274, 1.626, 0.383);(-0.145, -0.031, -0.007, 0.989);
1.13227;Origin: (0.309, 1.621, 0.384), Dir: (0.082, 0.017, 0.996);Origin: (0.247, 1.621, 0.380), Dir: (-0.339, 0.278, 0.899);(0.278, 1.621, 0.382);(-0.146, -0.029, -0.007, 0.989);
1.16782;Origin: (0.314, 1.616, 0.382), Dir: (0.087, 0.024, 0.996);Origin: (0.252, 1.616, 0.378), Dir: (-0.335, 0.284, 0.899);(0.283, 1.616, 0.380);(-0.150, -0.026, -0.005, 0.988);
1.19692;Origin: (0.310, 1.615, 0.380), Dir: (0.086, 0.029, 0.996);Origin: (0.247, 1.615, 0.377), Dir: (-0.337, 0.286, 0.897);(0.278, 1.615, 0.378);(-0.152, -0.027, -0.003, 0.988);
1.26050;Origin: (0.297, 1.615, 0.378), Dir: (0.083, 0.031, 0.996);Origin: (0.235, 1.615, 0.375), Dir: (-0.340, 0.287, 0.895);(0.266, 1.615, 0.377);(-0.153, -0.029, -0.002, 0.988);
1.27985;Origin: (0.295, 1.616, 0.377), Dir: (0.081, 0.031, 0.996);Origin: (0.232, 1.615, 0.373), Dir: (-0.342, 0.287, 0.895);(0.264, 1.615, 0.375);(-0.153, -0.030, -0.002, 0.988);
1.31060;Origin: (0.291, 1.616, 0.374), Dir: (0.075, 0.027, 0.997);Origin: (0.228, 1.616, 0.370), Dir: (-0.347, 0.284, 0.894);(0.260, 1.616, 0.372);(-0.151, -0.033, -0.004, 0.988);
1.33948;Origin: (0.291, 1.616, 0.373), Dir: (0.070, 0.023, 0.997);Origin: (0.228, 1.616, 0.368), Dir: (-0.351, 0.281, 0.893);(0.259, 1.616, 0.371);(-0.149, -0.035, -0.005, 0.988);
1.36638;Origin: (0.289, 1.615, 0.373), Dir: (0.063, 0.018, 0.998);Origin: (0.226, 1.615, 0.368), Dir: (-0.357, 0.278, 0.892);(0.258, 1.615, 0.371);(-0.147, -0.039, -0.007, 0.988);
1.43363;Origin: (0.288, 1.614, 0.374), Dir: (0.056, 0.014, 0.998);Origin: (0.225, 1.615, 0.368), Dir: (-0.362, 0.275, 0.890);(0.256, 1.615, 0.371);(-0.145, -0.042, -0.008, 0.989);
1.45528;Origin: (0.286, 1.613, 0.374), Dir: (0.049, 0.009, 0.999);Origin: (0.223, 1.613, 0.368), Dir: (-0.368, 0.271, 0.890);(0.255, 1.613, 0.371);(-0.142, -0.045, -0.009, 0.989);
1.48744;Origin: (0.285, 1.610, 0.376), Dir: (0.038, 0.005, 0.999);Origin: (0.223, 1.610, 0.369), Dir: (-0.378, 0.267, 0.886);(0.254, 1.610, 0.372);(-0.140, -0.051, -0.010, 0.989);
1.51303;Origin: (0.286, 1.608, 0.376), Dir: (0.033, 0.003, 0.999);Origin: (0.223, 1.608, 0.369), Dir: (-0.383, 0.265, 0.885);(0.254, 1.608, 0.373);(-0.139, -0.053, -0.010, 0.989);
1.54380;Origin: (0.285, 1.609, 0.377), Dir: (0.029, 0.001, 1.000);Origin: (0.222, 1.609, 0.370), Dir: (-0.387, 0.262, 0.884);(0.254, 1.609, 0.374);(-0.138, -0.055, -0.009, 0.989);
1.60266;Origin: (0.285, 1.608, 0.377), Dir: (0.026, -0.001, 1.000);Origin: (0.222, 1.608, 0.370), Dir: (-0.390, 0.260, 0.883);(0.253, 1.608, 0.373);(-0.137, -0.057, -0.008, 0.989);
1.62372;Origin: (0.284, 1.606, 0.377), Dir: (0.023, -0.001, 1.000);Origin: (0.221, 1.606, 0.370), Dir: (-0.394, 0.258, 0.882);(0.253, 1.606, 0.373);(-0.137, -0.059, -0.007, 0.989);
1.65075;Origin: (0.283, 1.601, 0.375), Dir: (0.020, 0.001, 1.000);Origin: (0.220, 1.601, 0.367), Dir: (-0.397, 0.260, 0.881);(0.251, 1.601, 0.371);(-0.138, -0.060, -0.007, 0.989);
1.68130;Origin: (0.282, 1.599, 0.373), Dir: (0.022, 0.002, 1.000);Origin: (0.219, 1.599, 0.366), Dir: (-0.395, 0.260, 0.881);(0.251, 1.599, 0.369);(-0.138, -0.059, -0.007, 0.989);
1.71220;Origin: (0.281, 1.597, 0.372), Dir: (0.024, 0.004, 1.000);Origin: (0.219, 1.597, 0.364), Dir: (-0.394, 0.262, 0.881);(0.250, 1.597, 0.368);(-0.139, -0.058, -0.006, 0.988);
1.77569;Origin: (0.280, 1.597, 0.370), Dir: (0.024, 0.007, 1.000);Origin: (0.218, 1.596, 0.362), Dir: (-0.394, 0.264, 0.880);(0.249, 1.597, 0.366);(-0.141, -0.058, -0.005, 0.988);
1.79634;Origin: (0.280, 1.596, 0.368), Dir: (0.022, 0.010, 1.000);Origin: (0.217, 1.595, 0.361), Dir: (-0.396, 0.266, 0.879);(0.248, 1.596, 0.364);(-0.142, -0.059, -0.004, 0.988);
1.82535;Origin: (0.278, 1.592, 0.363), Dir: (0.016, 0.013, 1.000);Origin: (0.216, 1.592, 0.355), Dir: (-0.402, 0.268, 0.876);(0.247, 1.592, 0.359);(-0.144, -0.063, -0.004, 0.988);
1.85230;Origin: (0.278, 1.590, 0.360), Dir: (0.014, 0.018, 1.000);Origin: (0.215, 1.590, 0.352), Dir: (-0.403, 0.273, 0.874);(0.247, 1.590, 0.356);(-0.146, -0.063, -0.005, 0.987);
1.88232;Origin: (0.277, 1.588, 0.358), Dir: (0.015, 0.022, 1.000);Origin: (0.215, 1.588, 0.350), Dir: (-0.401, 0.278, 0.873);(0.246, 1.588, 0.354);(-0.148, -0.063, -0.006, 0.987);
1.94651;Origin: (0.277, 1.588, 0.355), Dir: (0.017, 0.027, 0.999);Origin: (0.214, 1.588, 0.347), Dir: (-0.399, 0.283, 0.872);(0.246, 1.588, 0.351);(-0.151, -0.062, -0.007, 0.987);
1.96864;Origin: (0.276, 1.589, 0.353), Dir: (0.017, 0.039, 0.999);Origin: (0.214, 1.588, 0.345), Dir: (-0.400, 0.292, 0.869);(0.245, 1.588, 0.349);(-0.156, -0.062, -0.004, 0.986);
